vendor_id,vendor_name,business_type,subcategory,description,city,province/state,country,service_radius_km,travel_available,price_range_min,price_range_max,pricing_model,packages_available,deposit_required,event_types_supported,guest_capacity_min,guest_capacity_max,service_style,cuisine_type,indoor_outdoor_support,rating_avg,number_of_reviews,years_of_experience,certifications,availability_calendar,lead_time_required_days,cancellation_policy,setup_time_minutes,team_size
V001,Elegant Events Catering,catering,vegan catering,"Specializing in gourmet vegan dishes for all occasions, Elegant Events Catering offers a delicious and sustainable menu.",Los Angeles,CA,USA,50,yes,30,75,per person,"{""basic"": ""$30 per person"", ""deluxe"": ""$50 per person"", ""premium"": ""$75 per person""}",20%,"['wedding', 'corporate', 'birthday']",10,200,formal,vegan,both,4.8,150,5,"['licensed', 'insured']",available,14,full refund up to 7 days before event,60,5
V002,The Sound of Music DJ,DJ,wedding DJ,"Providing the best beats and a custom playlist for weddings, The Sound of Music DJ guarantees a memorable experience.",Miami,FL,USA,30,yes,500,1500,flat fee,"{""basic"": ""$500 for 4 hours"", ""premium"": ""$1000 for 8 hours"", ""deluxe"": ""$1500 for 12 hours""}",25%,"['wedding', 'corporate', 'party']",20,300,casual,,both,4.9,200,7,['insured'],available,30,50% refund if canceled 14 days before the event,30,2
V003,Blooming Florals,florist,luxury florist,"Creating stunning floral arrangements for weddings and events, Blooming Florals is known for its exquisite designs and quality.",New York,NY,USA,20,yes,100,2000,package,"{""small"": ""$100 for basic arrangements"", ""medium"": ""$500 for medium events"", ""large"": ""$2000 for full wedding service""}",30%,"['wedding', 'corporate', 'special occasion']",1,500,luxury,,both,4.7,85,10,['licensed'],available,21,full refund if canceled 10 days before event,45,3
V004,Capture Life Photography,photographer,wedding photography,Capture Life Photography specializes in capturing beautiful moments for weddings and events with a creative touch.,Chicago,IL,USA,50,yes,800,3000,package,"{""basic"": ""$800 for 4 hours"", ""standard"": ""$1500 for 8 hours"", ""premium"": ""$3000 for full day coverage""}",20%,"['wedding', 'engagement', 'family']",1,300,themed,,both,4.9,120,6,"['licensed', 'insured']",available,30,full refund if canceled 30 days before event,60,2
V005,The Grand Venue,venue,banquet hall,"The Grand Venue offers a beautiful space for weddings and events, equipped with all amenities to ensure a perfect gathering.",San Francisco,CA,USA,100,no,2000,10000,flat fee,"{""basic"": ""$2000 for 100 guests"", ""premium"": ""$5000 for 200 guests"", ""luxury"": ""$10000 for 500 guests""}",50%,"['wedding', 'conference', 'corporate']",50,500,luxury,,indoor,4.8,60,15,['licensed'],available,60,full refund if canceled 60 days before event,120,10
V006,Culinary Delights,catering,gourmet catering,Culinary Delights provides a gourmet catering experience with a focus on seasonal ingredients and innovative dishes.,Austin,TX,USA,60,yes,35,100,per person,"{""basic"": ""$35 per person"", ""standard"": ""$60 per person"", ""premium"": ""$100 per person""}",10%,"['wedding', 'corporate', 'birthday']",20,300,formal,gourmet,both,4.6,90,8,['insured'],available,14,full refund if canceled 7 days before event,45,4
V007,Wondrous Weddings,event planner,wedding planner,Wondrous Weddings specializes in creating unforgettable wedding experiences with personalized planning services.,Seattle,WA,USA,50,yes,1500,5000,package,"{""basic"": ""$1500 for planning"", ""full"": ""$5000 for full service""}",20%,"['wedding', 'engagement']",20,400,themed,,both,4.9,75,6,['licensed'],available,30,50% refund if canceled 14 days before event,30,3
V008,Charming Cakes,bakery,wedding cakes,Charming Cakes creates beautiful and delicious custom wedding cakes that are designed to match your theme and style.,Denver,CO,USA,40,no,200,1500,flat fee,"{""small"": ""$200 for basic cake"", ""medium"": ""$800 for 3-tier cake"", ""large"": ""$1500 for custom designs""}",30%,"['wedding', 'birthday']",1,300,luxury,,both,4.8,50,5,['licensed'],available,21,full refund if canceled 10 days before event,30,2
V009,Creative Rentals,event rentals,furniture rentals,"Creative Rentals offers a wide range of furniture and decor rentals for events, from chairs to centerpieces.",Phoenix,AZ,USA,50,yes,100,3000,package,"{""basic"": ""$100 for small items"", ""standard"": ""$1000 for medium events"", ""premium"": ""$3000 for large events""}",25%,"['wedding', 'corporate', 'party']",20,500,casual,,both,4.5,80,4,['insured'],available,14,full refund if canceled 14 days before event,60,3
V010,Artistic Decor,decorator,event decoration,"Artistic Decor provides unique and beautiful decoration services for all types of events, ensuring a visually stunning atmosphere.",Orlando,FL,USA,50,yes,500,2500,package,"{""basic"": ""$500 for small events"", ""standard"": ""$1500 for medium events"", ""premium"": ""$2500 for large events""}",20%,"['wedding', 'corporate', 'party']",10,400,themed,,both,4.6,65,5,['licensed'],available,30,50% refund if canceled 14 days before event,90,4
V011,Joyful Celebrations,event planner,party planner,Joyful Celebrations specializes in planning unforgettable parties and events customized to your vision.,San Diego,CA,USA,40,yes,1000,4000,package,"{""basic"": ""$1000 for planning"", ""premium"": ""$4000 for full service""}",20%,"['birthday', 'corporate', 'wedding']",10,300,themed,,both,4.7,70,8,['licensed'],available,30,full refund if canceled 30 days before event,60,3
V012,Gourmet Grills,catering,barbecue catering,"Gourmet Grills specializes in barbecue catering for events, featuring smoked meats and delicious sides.",Atlanta,GA,USA,70,yes,25,60,per person,"{""basic"": ""$25 per person"", ""deluxe"": ""$50 per person""}",10%,"['wedding', 'corporate', 'birthday']",10,150,casual,barbecue,both,4.5,60,4,['licensed'],available,14,full refund if canceled 7 days before event,45,3
V013,Timeless Photography,photographer,portrait photography,Timeless Photography captures stunning portraits and special moments with an artistic approach for all occasions.,Nashville,TN,USA,50,yes,400,2000,package,"{""basic"": ""$400 for portraits"", ""standard"": ""$1200 for events"", ""premium"": ""$2000 for weddings""}",20%,"['wedding', 'family', 'corporate']",1,300,formal,,both,4.7,90,7,['licensed'],available,30,full refund if canceled 14 days before event,60,2
V014,Gleaming Rentals,event rentals,equipment rentals,"Gleaming Rentals provides high-quality equipment rentals for events, including tents, tables, and audiovisual gear.",Baltimore,MD,USA,50,yes,150,2000,package,"{""basic"": ""$150 for small items"", ""standard"": ""$500 for medium events"", ""premium"": ""$2000 for large events""}",25%,"['corporate', 'wedding', 'party']",20,500,casual,,both,4.6,70,5,['insured'],available,14,full refund if canceled 10 days before event,90,4
V015,Exquisite Cakes,bakery,custom cakes,"Exquisite Cakes creates custom cakes for all occasions, focusing on aesthetic designs and delicious flavors.",Boston,MA,USA,30,no,250,1200,flat fee,"{""small"": ""$250 for basic cake"", ""medium"": ""$800 for custom cakes"", ""large"": ""$1200 for elaborate designs""}",30%,"['wedding', 'birthday']",1,200,luxury,,both,4.8,40,5,['licensed'],available,21,full refund if canceled 10 days before event,30,2
V016,Brilliant Events,event planner,corporate events,Brilliant Events specializes in planning and executing corporate events with professionalism and attention to detail.,Dallas,TX,USA,60,yes,2000,10000,package,"{""basic"": ""$2000 for small corporate events"", ""premium"": ""$10000 for large conferences""}",25%,"['corporate', 'seminar']",30,500,formal,,both,4.9,80,9,['licensed'],available,30,full refund if canceled 30 days before event,120,5
V017,Artisan Cuisines,catering,international catering,Artisan Cuisines offers a diverse menu featuring international dishes tailored to your event's theme.,Portland,OR,USA,50,yes,40,90,per person,"{""basic"": ""$40 per person"", ""premium"": ""$90 per person""}",15%,"['wedding', 'corporate', 'birthday']",15,250,formal,international,both,4.6,65,6,['insured'],available,14,full refund if canceled 7 days before event,45,4
V018,The Great Venue,venue,event space,"The Great Venue offers a versatile event space for weddings, parties, and corporate functions, equipped with modern amenities.",Minneapolis,MN,USA,100,no,1500,8000,flat fee,"{""basic"": ""$1500 for 100 guests"", ""premium"": ""$4000 for 200 guests"", ""luxury"": ""$8000 for 500 guests""}",50%,"['wedding', 'corporate', 'conference']",50,500,luxury,,indoor,4.7,70,12,['licensed'],available,60,full refund if canceled 60 days before event,120,10
V019,Vibrant Celebrations,event planner,themed events,"Vibrant Celebrations specializes in themed events, creating an immersive experience tailored to your vision.",Cincinnati,OH,USA,50,yes,1200,5000,package,"{""basic"": ""$1200 for planning"", ""premium"": ""$5000 for full service""}",20%,"['birthday', 'wedding', 'corporate']",10,300,themed,,both,4.8,65,5,['licensed'],available,30,full refund if canceled 30 days before event,60,4
V020,Savory Delights,catering,fine dining,Savory Delights offers a fine dining catering experience with exquisite dishes and exceptional service.,Charlotte,NC,USA,60,yes,75,150,per person,"{""basic"": ""$75 per person"", ""deluxe"": ""$150 per person""}",15%,"['wedding', 'corporate', 'birthday']",10,200,luxury,fine dining,both,4.9,90,5,['licensed'],available,14,full refund if canceled 7 days before event,45,4
V021,Galaxy Photography,photographer,event photography,Galaxy Photography captures the essence of your events with stunning visuals and creative perspectives.,Las Vegas,NV,USA,50,yes,600,3000,package,"{""basic"": ""$600 for events"", ""standard"": ""$1500 for weddings"", ""premium"": ""$3000 for full day coverage""}",20%,"['wedding', 'corporate', 'special occasion']",1,400,formal,,both,4.8,80,6,['licensed'],available,30,full refund if canceled 14 days before event,60,2
V022,Elegant Rentals,event rentals,luxury rentals,"Elegant Rentals offers high-end rentals for events, including furniture, decor, and accessories.",Salt Lake City,UT,USA,50,yes,200,3000,package,"{""basic"": ""$200 for small items"", ""standard"": ""$1000 for medium events"", ""premium"": ""$3000 for large events""}",25%,"['wedding', 'corporate', 'party']",10,500,luxury,,both,4.5,70,5,['insured'],available,14,full refund if canceled 14 days before event,90,3
V023,Heavenly Bites,catering,dessert catering,"Heavenly Bites specializes in dessert catering, offering a wide variety of sweets for all occasions.",Kansas City,MO,USA,50,yes,20,50,per person,"{""basic"": ""$20 per person"", ""premium"": ""$50 per person""}",10%,"['wedding', 'birthday', 'corporate']",10,200,casual,dessert,both,4.7,50,3,['licensed'],available,14,full refund if canceled 7 days before event,30,2
